Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
012330,KR7012330007,현대모비스,KOSPI,,224500,1,3500,1.58,222500,226500,222000,266470,59818234500,21025568603000,93655094,STK
055550,KR7055550008,신한지주,KOSPI,,38900,1,1000,2.64,38000,38900,37950,1485313,57372398850,20053112952100,515504189,STK
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,644000,1,34000,5.57,628000,663000,623000,779921,502754385000,17148218192000,26627668,KSQ
066570,KR7066570003,LG전자,KOSPI,,97200,1,400,0.41,96900,97400,96400,925632,89715061950,15906567520800,163647814,STK
032830,KR7032830002,삼성생명,KOSPI,,70900,1,600,0.85,70300,70900,70100,279297,19749400300,14180000000000,200000000,STK
096770,KR7096770003,SK이노베이션,KOSPI,,138600,1,1000,0.73,138000,140900,137900,534013,74431650300,13950861170400,100655564,STK
003550,KR7003550001,LG,KOSPI,,87400,1,1100,1.27,85100,87400,84600,292006,25305924500,13748106788200,157300993,STK
034730,KR7034730002,SK,KOSPI,,177600,1,3600,2.07,174600,177800,174100,209465,37113257500,13000023230400,73198329,STK
323410,KR7323410001,카카오뱅크,KOSPI,,27100,1,250,0.93,26950,27100,26700,1158616,31239716100,12922286412700,476837137,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,164800,2,-5700,-3.34,170500,170800,164500,245012,40582604700,12751861440000,77377800,STK
086790,KR7086790003,하나금융지주,KOSPI,,42950,1,1100,2.63,42350,42950,42250,1382936,59133622750,12556715884100,292356598,STK
091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,75900,2,-4500,-5.6,80700,80800,75100,2978414,230256725800,12482872551600,164464724,KSQ
015760,KR7015760002,한국전력,KOSPI,,19330,1,50,0.26,19300,19440,19210,1050262,20312796550,12409165608410,641964077,STK
000810,KR7000810002,삼성화재,KOSPI,,260000,1,5000,1.96,255000,260000,254500,138296,35724592000,12317457620000,47374837,STK
033780,KR7033780008,KT&G,KOSPI,,91400,1,300,0.33,91000,91500,90800,636438,58097491462,12231376225800,133822497,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,57200,2,-400,-0.69,57600,58200,56900,458417,26347741400,11632884920800,203372114,STK
450080,KR7450080007,에코프로머티,KOSPI,,169000,1,28500,20.28,144200,174700,142200,10527968,1675628487300,11530355902000,68226958,STK
009150,KR7009150004,삼성전기,KOSPI,,153400,2,-600,-0.39,155000,155400,152000,253291,38905291100,11458012966400,74693696,STK
329180,KR7329180004,HD현대중공업,KOSPI,,124300,3,0,0.0,124300,124700,123000,78446,9719729800,11034498318800,88773116,STK
017670,KR7017670001,SK텔레콤,KOSPI,,50400,2,-200,-0.4,50100,50400,49900,650161,32615223550,11029190457600,218833144,STK
011200,KR7011200003,HMM,KOSPI,,15370,2,-960,-5.88,16330,16380,15340,2894674,45735787490,10590537053520,689039496,STK
010130,KR7010130003,고려아연,KOSPI,,495000,1,7500,1.54,490000,502000,488000,77231,38246389500,10349751060000,20908588,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,58500,1,2500,4.46,56700,59800,56500,1828159,106801181900,10291483098000,175922788,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,15910,1,70,0.44,15900,15930,15740,2139101,33951334370,10191327832860,640561146,STK
259960,KR7259960003,크래프톤,KOSPI,,208500,2,-1500,-0.71,210000,212000,205500,138748,28901844000,10083631915500,48362743,STK
352820,KR7352820005,하이브,KOSPI,,238500,1,5500,2.36,235000,241500,232000,209700,49958449500,9934025134500,41652097,STK
316140,KR7316140003,우리금융지주,KOSPI,,13040,1,60,0.46,13010,13050,12970,2202586,28690347950,9805420971440,751949461,STK
024110,KR7024110009,기업은행,KOSPI,,11890,1,30,0.25,11870,11890,11830,1430991,16992083970,9481393582410,797425869,STK
030200,KR7030200000,KT,KOSPI,,36450,1,150,0.41,36200,36500,36100,748916,27229373150,9399024702000,257860760,STK
003490,KR7003490000,대한항공,KOSPI,,23850,1,600,2.58,23350,23850,23300,1642333,38910175600,8782062764850,368220661,STK
042660,KR7042660001,한화오션,KOSPI,,27150,1,1300,5.03,26000,27450,25800,3928720,106130091550,8317644107850,306358899,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,113600,2,-300,-0.26,114000,114800,113000,168680,19210300500,8039825977600,70773116,STK
022100,KR7022100002,포스코DX,KOSDAQ GLOBAL,우량기업부,52100,1,100,0.19,52500,52600,51600,1147884,59708230400,7921009380900,152034729,KSQ
090430,KR7090430000,아모레퍼시픽,KOSPI,,134500,2,-2300,-1.68,136800,137900,133900,102681,13883939400,7867276085500,58492759,STK
010950,KR7010950004,S-Oil,KOSPI,,67900,1,900,1.34,67600,68100,67400,227575,15447792500,7644371576800,112582792,STK
326030,KR7326030004,SK바이오팜,KOSPI,,91800,1,1000,1.1,90800,91800,89500,112040,10196661200,7189156350000,78313250,STK
402340,KR7402340004,SK스퀘어,KOSPI,,51100,1,300,0.59,50400,51100,50200,410467,20892768295,7101930939600,138981036,STK
010140,KR7010140002,삼성중공업,KOSPI,,7960,2,-30,-0.38,8030,8040,7920,3302420,26358858040,7004800000000,880000000,STK
011170,KR7011170008,롯데케미칼,KOSPI,,160800,2,-1000,-0.62,160500,161700,159900,61882,9937684000,6878287375200,42775419,STK
066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,우량기업부,186200,2,-600,-0.32,189100,194100,183300,706522,133525886500,6749345015000,36247825,KSQ
086280,KR7086280005,현대글로비스,KOSPI,,179100,1,1900,1.07,178400,181900,177200,72960,13075771600,6716250000000,37500000,STK
001570,KR7001570001,금양,KOSPI,,115000,1,3300,2.95,112600,117000,112200,677629,77521293400,6675754255000,58050037,STK
377300,KR7377300009,카카오페이,KOSPI,,49650,1,300,0.61,49400,49650,48400,211438,10349662050,6662193347850,134183149,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,125900,1,800,0.64,125600,126200,124000,364547,45685850100,6374317000000,50630000,STK
361610,KR7361610009,SK아이이테크놀로지,KOSPI,,86200,1,900,1.06,85300,87800,83800,473559,40634406900,6145852430400,71297592,STK
454910,KR7454910001,두산로보틱스,KOSPI,,94500,1,8400,9.76,87500,94900,87400,5141163,469763397600,6125488110000,64819980,STK
009830,KR7009830001,한화솔루션,KOSPI,,34950,1,2550,7.87,33650,37700,33650,10737122,384728080000,6007644133200,171892536,STK
005830,KR7005830005,DB손해보험,KOSPI,,84200,2,-3800,-4.32,88100,88100,84000,225997,19146890300,5961360000000,70800000,STK
011070,KR7011070000,LG이노텍,KOSPI,,247000,2,-3000,-1.2,238000,247500,234500,461862,111684042000,5845775429000,23667107,STK
042700,KR7042700005,한미반도체,KOSPI,,58300,2,-900,-1.52,59400,60000,57500,1093605,63910845300,5674881306600,97339302,STK
028300,KR7028300002,HLB,KOSDAQ,중견기업부,43550,1,3100,7.66,40400,43650,40050,6501347,276183505650,5630740112400,129293688,KSQ
051900,KR7051900009,LG생활건강,KOSPI,,353500,1,9000,2.61,346500,353500,344500,89454,31203932500,5521032639500,15618197,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,44500,2,-1650,-3.58,46100,46150,43000,640584,28640144250,5512440570500,123875069,STK
088980,KR7088980008,맥쿼리인프라,KOSPI,,12600,2,-20,-0.16,12620,12660,12590,644236,8128986730,5490845073000,435781355,STK
302440,KR7302440003,SK바이오사이언스,KOSPI,,69100,2,-100,-0.14,69800,69800,68400,92259,6372659300,5305777578600,76784046,STK
028050,KR7028050003,삼성엔지니어링,KOSPI,,26700,1,950,3.69,25950,27000,25750,1295240,34370624950,5233200000000,196000000,STK
036570,KR7036570000,엔씨소프트,KOSPI,,231500,1,3000,1.31,229000,231500,226500,123829,28547293000,5082356093000,21954022,STK
005070,KR7005070008,코스모신소재,KOSPI,,151100,2,-1400,-0.92,155700,157300,150700,320282,49005382600,4912375231600,32510756,STK
000100,KR7000100008,유한양행,KOSPI,,64000,2,-200,-0.31,64300,64600,63100,394627,25247648700,4904874048000,76638657,STK
267250,KR7267250009,HD현대,KOSPI,,61100,2,-200,-0.33,61400,61900,61100,264937,16261070100,4826477493500,78993085,STK
097950,KR7097950000,CJ제일제당,KOSPI,,318500,3,0,0.0,316000,320000,313000,34572,10942670000,4794758241000,15054186,STK
241560,KR7241560002,두산밥캣,KOSPI,,47300,1,3300,7.5,44500,48050,44450,749147,35067627200,4741785551800,100249166,STK
307950,KR7307950006,현대오토에버,KOSPI,,172000,1,1000,0.58,171800,177000,170200,137654,23871830400,4716924904000,27423982,STK
034220,KR7034220004,LG디스플레이,KOSPI,,13110,1,130,1.0,12940,13110,12780,1649562,21316054230,4690963827000,357815700,STK
251270,KR7251270005,넷마블,KOSPI,,54400,2,-300,-0.55,55000,55300,52500,220531,11844943900,4675870508800,85953502,STK
047810,KR7047810007,한국항공우주,KOSPI,,47750,1,500,1.06,47300,47750,47300,391889,18673976900,4654436359250,97475107,STK
004020,KR7004020004,현대제철,KOSPI,,34850,2,-450,-1.27,35400,35600,34650,448610,15716304450,4650585607250,133445785,STK
006800,KR7006800007,미래에셋증권,KOSPI,,7460,2,-50,-0.67,7510,7560,7460,938860,7045416640,4515660403680,605316408,STK
032640,KR7032640005,LG유플러스,KOSPI,,10330,1,90,0.88,10250,10360,10250,880251,9079685820,4510195359130,436611361,STK
271560,KR7271560005,오리온,KOSPI,,109700,2,-1100,-0.99,111100,111400,109700,100555,11059385100,4337113680400,39536132,STK
128940,KR7128940004,한미약품,KOSPI,,328500,2,-4500,-1.35,334000,334500,327000,35146,11579551000,4126668903000,12562158,STK
021240,KR7021240007,코웨이,KOSPI,,55500,1,1400,2.59,53700,55500,53700,220547,12162313400,4095878854500,73799619,STK
005387,KR7005382007,현대차2우B,KOSPI,,111800,1,500,0.45,111700,113800,111300,133879,15045587300,4038282744600,36120597,STK
180640,KR7180640005,한진칼,KOSPI,,60000,1,500,0.84,59000,60000,58000,106832,6360417000,4005736740000,66762279,STK
000720,KR7000720003,현대건설,KOSPI,,35950,1,100,0.28,36150,36200,35650,424972,15243362900,4003239751750,111355765,STK
078930,KR7078930005,GS,KOSPI,,42350,2,-150,-0.35,42550,42800,42150,210785,8941380400,3934966258300,92915378,STK
011780,KR7011780004,금호석유,KOSPI,,134100,1,5400,4.2,128700,135900,128000,157466,21081161100,3828243753900,28547679,STK
403870,KR7403870009,HPSP,KOSDAQ,벤처기업부,46050,2,-2600,-5.34,51100,51400,45450,3608123,172749950650,3761748609600,81688352,KSQ
029780,KR7029780004,삼성카드,KOSPI,,32450,2,-250,-0.76,32550,32750,32450,87491,2845815250,3759621012950,115858891,STK
018880,KR7018880005,한온시스템,KOSPI,,7040,1,20,0.28,7040,7200,7020,1125042,7962971280,3757952000000,533800000,STK
016360,KR7016360000,삼성증권,KOSPI,,40600,1,500,1.25,40200,40650,40150,266481,10803023150,3625580000000,89300000,STK
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,181000,1,3600,2.03,179100,182000,173400,547017,97507317900,3511012298000,19397858,KSQ
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,67800,2,-1600,-2.31,69900,70100,66100,803368,54449113000,3510060646800,51770806,KSQ
071050,KR7071050009,한국금융지주,KOSPI,,62700,2,-400,-0.63,63100,63500,62500,109384,6899153300,3494019698400,55725992,STK
035250,KR7035250000,강원랜드,KOSPI,,16310,1,50,0.31,16260,16370,16260,481662,7865704620,3489369555000,213940500,STK
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,88000,2,-3500,-3.83,92400,93000,87400,430474,38951545400,3485701384000,39610243,KSQ
